,sentence,rankt,ranko
1755,彼の名前は？,1755,10000
1756,デレク,1756,10000
1757,誓います,1757,10000
1758,バカバカしい,1758,10000
1759,確かなの？,1759,10000
1760,エミリー,1760,10000
1761,こっちへ！,1761,10000
1762,ホント,1762,10000
1763,明日,1763,10000
1764,どうして分かる？,1764,10000
1765,言ったでしょ,1765,10000
1766,どうです？,1766,10000
1767,分ってる,1767,10000
1768,家に帰りたい,1768,10000
1769,見事だ,1769,10000
1770,君も,1770,10000
1771,駄目だ！,1771,10000
1772,本当にすまない,1772,10000
1773,そう思わない？,1773,10000
1774,わかったな？,1774,10000
1775,すみません！,1775,10000
1776,俺か？,1776,10000
1777,離せ,1777,10000
1778,悪いね,1778,10000
1779,深呼吸して,1779,10000
1780,見てろ,1780,10000
1781,何も,1781,10000
1782,ダメ？,1782,10000
1783,こっちです,1783,10000
1784,押せ！,1784,10000
1785,いや　違う,1785,10000
1786,そういうことだ,1786,10000
1787,ちょっとね,1787,10000
1788,そうするよ,1788,10000
1789,イエス！,1789,10000
1790,さぁ！,1790,10000
1791,心配ないよ,1791,10000
1792,行こうぜ,1792,10000
1793,ジア,1793,10000
1794,止まって,1794,10000
1795,兄弟,1795,10000
1796,だよな,1796,10000
1797,何だよ！,1797,10000
1798,けど,1798,401
1799,あの・・・,1799,1101
1800,ダニエル,1800,10000
1801,何て事,1801,10000
1802,武器を捨てろ,1802,10000
1803,離れて！,1803,10000
1804,すぐに！,1804,10000
1805,ええ　そうです,1805,10000
1806,これも,1806,868
1807,どうやったの？,1807,10000
1808,ヘンリー？,1808,10000
1809,ジミー,1809,10000
1810,伏せて！,1810,10000
1811,クレア！,1811,10000
1812,それだけよ,1812,10000
1813,隠れろ！,1813,10000
1814,でしょ,1814,10000
1815,行け　行け,1815,10000
1816,いい？,1816,448
1817,ハハハ,1817,938
1818,離れて,1818,10000
1819,本当です,1819,10000
1820,そ,1820,202
1821,お願いします。,1821,10000
1822,何かあったか？,1822,10000
1823,先生！,1823,1148
1824,サンキュー,1824,905
1825,なにが？,1825,10000
1826,時間は？,1826,10000
1827,戻って,1827,10000
1828,こちらへどうぞ,1828,10000
1829,違うだろ,1829,10000
1830,さあ　行くぞ,1830,10000
1831,（ｱﾙﾏﾝ）うん,1831,10000
1832,何か用？,1832,10000
1833,何もありません,1833,10000
1834,どこから？,1834,10000
1835,あの野郎,1835,10000
1836,だから何？,1836,791
1837,行けよ,1837,10000
1838,仕事は？,1838,10000
1839,こりゃ何だ？,1839,708
1840,ダメです,1840,10000
1841,できるか？,1841,10000
1842,できません,1842,10000
1843,参ったな,1843,10000
1844,ああ、そうだ,1844,10000
1845,いいかしら？,1845,10000
1846,後でね,1846,768
1847,ヘイ。,1847,10000
1848,狂ってる,1848,10000
1849,もう行くわ,1849,10000
1850,これは・・・,1850,10000
1851,来いよ！,1851,10000
1852,まだね,1852,10000
1853,これだよ,1853,10000
1854,待ってください,1854,10000
1855,手遅れだ,1855,10000
1856,おい？,1856,10000
1857,大丈夫ですよ,1857,10000
1858,もう終わりだ,1858,10000
1859,いい加減にして,1859,10000
1860,もう一度だ,1860,10000
1861,こいつは,1861,10000
1862,殺さないで,1862,10000
1863,目的は？,1863,10000
1864,できるさ,1864,10000
1865,からかってるのか？,1865,10000
1866,そうかもな,1866,10000
1867,分ったか？,1867,10000
1868,なんでしょう？,1868,10000
1869,助けて！,1869,86
1870,お会いできて光栄です,1870,10000
1871,アーサー,1871,10000
1872,ドアを開けて,1872,10000
1873,どうしたんです？,1873,10000
1874,アーリーズウェル,1874,10000
1875,リース,1875,10000
1876,アー,1876,10000
1877,どうしたのよ？,1877,10000
1878,はやく,1878,10000
1879,ジン,1879,10000
1880,それは無理だ,1880,10000
1881,マリー,1881,10000
1882,分かるわ,1882,10000
1883,引け,1883,10000
1884,着いたぞ,1884,10000
1885,廉君,1885,44
1886,待て！,1886,154
1887,ちょっと失礼します,1887,10000
1888,捨てろ！,1888,10000
1889,誰かいるの？,1889,10000
1890,ベイマックス！,1890,10000
1891,見てください,1891,10000
1892,いいですね,1892,10000
1893,わかってるさ,1893,10000
1894,気を付けろ！,1894,10000
1895,会えて良かった,1895,10000
1896,ちょっとだけ,1896,10000
1897,遅いぞ,1897,10000
1898,奥様,1898,10000
1899,おい。,1899,10000
1900,こっちに,1900,10000
1901,すごいわ！,1901,10000
1902,誰にも,1902,10000
1903,どうかしたのか？,1903,10000
1904,チャールズ,1904,10000
1905,さあ！,1905,421
1906,止めてくれ！,1906,10000
1907,離して,1907,722
1908,扇 〉,1908,46
1909,スーキー,1909,10000
1910,で,1910,118
1911,て,1911,62
1912,ティム,1912,10000
1913,覚えてる,1913,10000
1914,いいじゃない,1914,10000
1915,つかまれ,1915,10000
1916,続けてくれ,1916,10000
1917,そんな・・・,1917,1042
1918,住所は？,1918,10000
1919,どこなんだ？,1919,10000
1920,すごいわね,1920,10000
1921,デイビッド,1921,10000
1922,その調子だ,1922,10000
1923,なんと,1923,10000
1924,知ってた？,1924,409
1925,ああ、神様。,1925,10000
1926,何者だ,1926,10000
1927,来るな！,1927,10000
1928,もうやめて,1928,10000
1929,やばい,1929,10000
1930,無理,1930,10000
1931,今日,1931,10000
1932,当たり前だ,1932,10000
1933,オイ,1933,467
1934,子供は？,1934,10000
1935,レッド！,1935,10000
1936,トッド,1936,10000
1937,ああ そうだな,1937,10000
1938,ごめんなさいね,1938,10000
1939,あったぞ,1939,10000
1940,どんな風に？,1940,10000
1941,上出来だ,1941,10000
1942,（拍手）,1942,575
1943,何するんだ？,1943,10000
1944,そうか。,1944,10000
1945,そこだ！,1945,10000
1946,急いでくれ,1946,10000
1947,やっちまえ！,1947,10000
1948,止まって！,1948,10000
1949,なんてことを,1949,10000
1950,知ってるのか？,1950,10000
1951,何か用か？,1951,10000
1952,何が望みだ,1952,10000
1953,ここで何をしてる？,1953,10000
1954,ジョージ,1954,10000
1955,何してんだ？,1955,10000
1956,無いわ,1956,10000
1957,死んだ？,1957,10000
1958,うそ,1958,10000
1959,僕だ,1959,10000
1960,かわいい,1960,1126
1961,お前もだ,1961,10000
1962,十分だ,1962,10000
1963,がんばれ,1963,10000
1964,母さん？,1964,10000
1965,ケビン？,1965,10000
1966,死んだのか？,1966,10000
1967,ほっといてくれ,1967,1065
1968,どういう意味,1968,10000
1969,帰ってくれ,1969,10000
1970,教えてよ,1970,10000
1971,私は・・,1971,10000
1972,来たわ,1972,10000
1973,そうですよ,1973,460
1974,（理子）うん,1974,10000
1975,見つけた！,1975,10000
1976,嫌だ！,1976,10000
1977,ハンナ,1977,10000
1978,掴まれ！,1978,10000
1979,無理です,1979,10000
1980,彼女？,1980,10000
1981,始めましょう,1981,10000
1982,何をやってる？,1982,10000
1983,今はね,1983,10000
1984,わかんない,1984,10000
1985,来るんだ！,1985,10000
1986,具合は？,1986,10000
1987,你,1987,71
1988,気を付けろ,1988,10000
1989,ったく,1989,10000
1990,水を,1990,10000
1991,帰れ,1991,10000
1992,何と？,1992,10000
1993,そうでしょ,1993,10000
1994,そこに,1994,10000
1995,アラン！,1995,10000
1996,モアナ！,1996,10000
1997,何！,1997,1151
1998,了解だ,1998,10000
1999,仕事に戻れ,1999,10000
2000,ボス！,2000,10000
2001,間違いなく,2001,10000
2002,なんて事,2002,10000
2003,私に,2003,10000
2004,違うわよ,2004,10000
2005,よく考えろ,2005,10000
2006,ここか？,2006,10000
2007,ご心配なく,2007,10000
2008,なんだと,2008,10000
2009,よかったな,2009,10000
2010,どこ,2010,10000
2011,失敗した,2011,10000
2012,なぜわかる？,2012,10000
2013,さあ早く,2013,10000
2014,どうなってる,2014,10000
2015,出て来い！,2015,10000
2016,戻って来い！,2016,10000
2017,シーッ！,2017,10000
2018,どうして知ってるの？,2018,10000
2019,飲め,2019,10000
2020,おっと。,2020,10000
2021,必ず見つけ出す,2021,10000
2022,残念だわ,2022,10000
2023,話があるの,2023,10000
2024,冗談か？,2024,10000
2025,右だ,2025,10000
2026,嘘じゃない,2026,10000
2027,ニキータ,2027,10000
2028,車に乗れ,2028,10000
2029,俺が行く,2029,10000
2030,言え,2030,10000
2031,何してるんだ,2031,10000
2032,逃げるぞ！,2032,10000
2033,ここに居ろ,2033,10000
2034,ごめんね。,2034,10000
2035,まだ何も,2035,10000
2036,何のため？,2036,10000
2037,キャロル！,2037,10000
2038,フフフ,2038,10000
2039,やってやる,2039,10000
2040,任せてくれ,2040,10000
2041,動かないで！,2041,10000
2042,頼むぞ,2042,10000
2043,そうか！,2043,10000
2044,だと思った,2044,10000
2045,誰かいる？,2045,10000
2046,問題なし,2046,10000
2047,構わんよ,2047,10000
2048,動け,2048,10000
2049,会えて嬉しいわ,2049,10000
2050,７,2050,10000
2051,そんな事ない,2051,10000
2052,わかるだろ,2052,10000
2053,止めてくれ,2053,10000
2054,忘れてた,2054,10000
2055,何が起きたんだ？,2055,10000
2056,何でだ？,2056,10000
2057,うわー！,2057,10000
2058,ラ,2058,57
2059,キ,2059,52
2060,ワォ！,2060,10000
2061,いいでしょ？,2061,10000
2062,なにも,2062,10000
2063,ちょっと待ってて,2063,10000
2064,いいかな,2064,10000
2065,頑張れ！,2065,10000
2066,ケビン,2066,10000
2067,あなたに,2067,855
2068,チャーリー？,2068,10000
2069,本当なのか？,2069,10000
2070,アーロン,2070,10000
2071,完璧,2071,10000
2072,知ってるだろ,2072,10000
2073,アレックス。,2073,10000
2074,すぐ行くわ,2074,10000
2075,そうよ。,2075,10000
2076,動け！,2076,750
2077,どうかしら？,2077,10000
2078,隊長,2078,10000
2079,おい　おい,2079,10000
2080,ホームズ,2080,10000
2081,そこまでだ,2081,683
2082,あれ？,2082,119
2083,議長,2083,209
2084,こっちへ来い,2084,10000
2085,思い出した,2085,10000
2086,違うわ！,2086,10000
2087,俺に任せろ,2087,10000
2088,俺もだよ,2088,10000
2089,やめるんだ！,2089,10000
2090,お悔やみを,2090,10000
2091,でも？,2091,10000
2092,何のために,2092,1155
2093,神よ！,2093,10000
2094,静かにして,2094,10000
2095,何なんだよ,2095,10000
2096,どうだ！,2096,10000
2097,いつ,2097,10000
2098,元気だった？,2098,10000
2099,少なくとも,2099,10000
2100,見失った,2100,10000
2101,ショーン,2101,1250
2102,台本は一切ございません （ﾄﾘﾝﾄﾞﾙ）はい,2102,10000
2103,撃たないで,2103,10000
2104,オー！,2104,10000
2105,やるわ,2105,10000
2106,言いたいのは,2106,10000
2107,やるしかない,2107,10000
2108,いいよ,2108,83
2109,はいよ,2109,10000
2110,ケビン！,2110,10000
2111,しっかり,2111,430
2112,出ていけ,2112,10000
2113,どれどれ,2113,10000
2114,最後のチャンスだ,2114,10000
2115,いいや,2115,226
2116,いいや。,2116,10000
2117,ウィル？,2117,10000
2118,嘘よ,2118,10000
2119,あなたなの？,2119,10000
2120,聞いてない,2120,10000
2121,確認した,2121,10000
2122,時間がない！,2122,10000
2123,よし いいぞ,2123,10000
2124,マジかよ？,2124,10000
2125,できないわ,2125,10000
2126,また会おう,2126,10000
2127,あなたは大丈夫？,2127,10000
2128,何のつもりだ,2128,10000
2129,嘘つき！,2129,10000
2130,まさか。,2130,10000
2131,まあいい,2131,10000
2132,これはどう？,2132,10000
2133,まだ分からない,2133,10000
2134,ほらよ,2134,10000
2135,分かってるさ,2135,10000
2136,まったく！,2136,10000
2137,オッケー,2137,1202
2138,ご注文は？,2138,10000
2139,やられた！,2139,10000
2140,ついてきて,2140,10000
2141,ポー,2141,10000
2142,来ないで,2142,10000
2143,なぜか？,2143,10000
2144,おぅ！,2144,10000
2145,考えがある,2145,10000
2146,最高よ,2146,10000
2147,キャシー,2147,10000
2148,今行く,2148,10000
2149,字幕：,2149,10000
2150,何それ,2150,10000
2151,よろしくね,2151,10000
2152,アーサー！,2152,10000
2153,俺は・・・,2153,10000
2154,ウォルター！,2154,10000
2155,テッサ！,2155,10000
2156,ここで？,2156,10000
2157,ウソ,2157,10000
2158,死にたくない,2158,10000
2159,いや 違う,2159,10000
2160,いい質問だ,2160,10000
2161,良い一日を,2161,10000
2162,残念だな,2162,10000
2163,ここから出よう,2163,10000
2164,君は監視されてる,2164,10000
2165,そして？,2165,10000
2166,そういうこと,2166,10000
2167,いやー！,2167,10000
2168,いつだ？,2168,10000
2169,手伝って,2169,10000
2170,捕まえた！,2170,10000
2171,彼が,2171,10000
2172,人殺し！,2172,10000
2173,パパ！,2173,1237
2174,気は確かか？,2174,10000
2175,すべての権利。,2175,10000
2176,本当かい？,2176,10000
2177,全てだ,2177,10000
2178,行かなくちゃ,2178,10000
2179,間違ってた,2179,10000
2180,だから・・・,2180,10000
2181,必要ないわ,2181,10000
2182,わかってるだろ,2182,10000
2183,マシンは全て見ている,2183,10000
2184,あなたはどう？,2184,10000
2185,ホントだ,2185,10000
2186,うまくいった,2186,10000
2187,お母さん！,2187,10000
2188,わお！,2188,10000
2189,はい 船長,2189,10000
2190,これ何？,2190,10000
2191,本当は,2191,10000
2192,デビッド,2192,10000
2193,分からないよ,2193,10000
2194,パトリック,2194,10000
2195,次！,2195,10000
2196,地面に伏せろ！,2196,10000
2197,おかしいな,2197,10000
2198,興味深い,2198,10000
2199,手を挙げろ！,2199,10000
2200,エマ！,2200,10000
2201,乗って！,2201,10000
2202,何をするつもりだ？,2202,10000
2203,リース君,2203,10000
2204,分かった　分かった,2204,10000
2205,ラリー,2205,10000
2206,ヘラクレス！,2206,10000
2207,分かんない,2207,10000
2208,淫売！,2208,10000
2209,出てけ,2209,10000
2210,あぁ。,2210,418
2211,それ何？,2211,10000
2212,いえいえ,2212,10000
2213,ルーカス,2213,10000
2214,突撃！,2214,10000
2215,頼みがある,2215,10000
2216,エリック！,2216,10000
2217,誰でもない,2217,10000
2218,私も行く,2218,10000
2219,ドクター,2219,10000
2220,知らない！,2220,10000
2221,スティーブ,2221,10000
2222,キャメロン,2222,10000
2223,ああ　くそ,2223,10000
2224,何でしょう？,2224,10000
2225,リジー,2225,10000
2226,アニー？,2226,10000
2227,現在,2227,10000
2228,逃げるんだ！,2228,10000
2229,殺された,2229,10000
2230,えっと・・・,2230,632
2231,ああ！,2231,858
2232,（ノック）,2232,1017
2233,無理だ！,2233,10000
2234,行こうか,2234,10000
2235,だまれ！,2235,10000
2236,もうすぐよ,2236,10000
2237,知らない。,2237,10000
2238,そうだったな,2238,10000
2239,用件は？,2239,10000
2240,キム,2240,10000
2241,俺を見ろ！,2241,10000
2242,失礼ですが,2242,10000
2243,ああ、そうだな,2243,10000
2244,相棒,2244,10000
2245,座れよ,2245,10000
2246,もっと速く！,2246,10000
2247,本気だ,2247,10000
2248,お前ら,2248,882
2249,やぁ！,2249,10000
2250,やったな！,2250,10000
2251,ロンドン,2251,10000
2252,やだ！,2252,10000
2253,グラントさん。,2253,10000
2254,フィル？,2254,10000
2255,どうだった,2255,10000
2256,エリザベス,2256,10000
2257,誰かいるか？,2257,10000
2258,出せ,2258,10000
2259,オーケイ。,2259,10000
2260,バカ野郎！,2260,10000
2261,フランク？,2261,10000
2262,キエラ,2262,10000
2263,出して！,2263,10000
2264,お前だ,2264,10000
2265,良かったよ,2265,10000
2266,ガンダルフ！,2266,10000
2267,静粛に！,2267,10000
2268,ジュリエット,2268,10000
2269,残念だけど,2269,10000
2270,行ってくる,2270,10000
2271,少しね,2271,10000
2272,早く！,2272,179
2273,僕じゃない,2273,10000
2274,ガンダルフ,2274,10000
2275,何かしら？,2275,10000
2276,アリス！,2276,10000
2277,ここから出せ！,2277,10000
2278,ノア！,2278,10000
2279,要らない,2279,10000
2280,どうしてる？,2280,10000
2281,アレックス？,2281,10000
2282,お待たせ,2282,10000
2283,移動！,2283,10000
2284,ああ　ありがとう,2284,10000
2285,あそこよ,2285,10000
2286,元気だよ,2286,10000
2287,我はフォースと共に フォースは我と共に,2287,10000
2288,フン,2288,10000
2289,ウソだろ？,2289,10000
2290,いつか,2290,10000
2291,静かにしろ！,2291,10000
2292,コール,2292,10000
2293,行く！,2293,10000
2294,すみませんが,2294,10000
2295,一体どうした？,2295,10000
2296,なんです？,2296,10000
2297,行きましょう！,2297,10000
2298,いないわ,2298,10000
2299,お悔やみ申し上げます,2299,10000
2300,ケイト！,2300,10000
2301,ドニー！,2301,10000
2302,クソったれ,2302,10000
2303,いるの？,2303,10000
2304,マックス？,2304,10000
2305,あなたもよ,2305,10000
2306,アガ,2306,60
2307,死んだの？,2307,10000
2308,それが何か？,2308,10000
2309,いや、いや,2309,10000
2310,どこに行くの,2310,10000
2311,嬉しいよ,2311,10000
2312,勝手にしろ,2312,10000
2313,ディーン？,2313,10000
2314,ショーン！,2314,10000
2315,みんな？,2315,10000
2316,心配いらない,2316,10000
2317,うんうん,2317,10000
2318,何してんの？,2318,10000
2319,やめてください,2319,10000
2320,来ないで！,2320,10000
2321,あいつだ,2321,10000
2322,有り得ない,2322,10000
2323,何の事,2323,10000
2324,そうかしら？,2324,10000
2325,分りました,2325,10000
2326,リズボン,2326,10000
2327,わかったか,2327,10000
2328,会えて嬉しい,2328,10000
2329,ダリル,2329,10000
2330,わあ！,2330,10000
2331,よろしいですか？,2331,10000
2332,ちょっと待て！,2332,10000
2333,見つけたわ,2333,10000
2334,死んでる,2334,10000
2335,次は,2335,10000
2336,はい　どうぞ,2336,10000
2337,良かったな,2337,10000
2338,友達？,2338,10000
2339,前回までは,2339,10000
2340,なに？,2340,9
2341,誰のこと？,2341,10000
2342,見えない,2342,10000
2343,何度も,2343,10000
2344,確かに。,2344,10000
2345,どれ？,2345,10000
2346,ダイアナ,2346,10000
2347,しっかりしろ！,2347,10000
2348,信じられるか？,2348,10000
2349,わー！,2349,10000
2350,やったぜ,2350,10000
2351,ああ　もちろん,2351,10000
2352,残念だよ,2352,10000
2353,マジ,2353,10000
2354,黙って！,2354,10000
2355,持ってて,2355,10000
2356,だまれ,2356,10000
2357,放て,2357,10000
2358,ご苦労様,2358,10000
2359,驚いたわ,2359,10000
2360,すごいぞ,2360,10000
2361,何処だ？,2361,10000
2362,誰の？,2362,10000
2363,わかる,2363,10000
2364,誰だ！,2364,10000
2365,怪我は？,2365,10000
2366,いるのか？,2366,10000
2367,知らないのか？,2367,10000
2368,捕まえた,2368,10000
2369,いいぜ,2369,10000
2370,一般人が関わる凶悪犯罪までも 普通の人々を含む,2370,10000
2371,見た？,2371,10000
2372,どこ行った？,2372,10000
2373,家族は？,2373,10000
2374,お前か,2374,10000
2375,１０,2375,10000
2376,そうではない,2376,10000
2377,どちら様？,2377,10000
2378,出よう,2378,10000
2379,エイプリル！,2379,10000
2380,どうしたんですか？,2380,455
2381,ここで何をしている？,2381,10000
2382,ちがう！,2382,10000
2383,分かる,2383,10000
2384,行きましょう。,2384,10000
2385,大丈夫よ。,2385,10000
2386,（夏美）うん,2386,10000
2387,やったわね,2387,10000
2388,手を貸して,2388,10000
2389,嘘でしょ,2389,10000
2390,何が起こってるの？,2390,10000
2391,たとえば？,2391,10000
2392,信じられる？,2392,10000
2393,ああ　くそ！,2393,10000
2394,構わないよ,2394,10000
2395,中尉,2395,10000
2396,すまない,2396,721
2397,いません,2397,10000
2398,何だっけ？,2398,1160
2399,忘れてくれ,2399,10000
2400,ローレル,2400,10000
2401,何をしている,2401,10000
2402,考えろ,2402,10000
2403,イエッサー,2403,10000
2404,ほら？,2404,582
2405,♬ 始,2405,63
2406,どういうつもりだ？,2406,10000
2407,マラサン,2407,64
2408,やるか？,2408,10000
2409,見てみろよ,2409,10000
2410,私を信じて,2410,10000
2411,ドリー！,2411,10000
2412,何があっても,2412,10000
2413,そこで,2413,10000
2414,聞いてるの？,2414,10000
2415,待ってよ！,2415,10000
2416,クウェート侵攻は許されない,2416,10000
2417,そこよ,2417,10000
2418,あらまあ,2418,10000
2419,なんなんだ？,2419,10000
2420,平気さ,2420,10000
2421,わかるだろ？,2421,10000
2422,スーパーガール。,2422,10000
2423,出てって！,2423,10000
2424,はい。,2424,819
2425,何人だ？,2425,10000
2426,ジェーンさん,2426,10000
2427,行ってきます,2427,10000
2428,何する気？,2428,10000
2429,何だね？,2429,10000
2430,元気でな,2430,10000
2431,そうします,2431,10000
2432,ウソよ,2432,10000
2433,中に入れ,2433,10000
2434,テロ拠点に対する攻撃を順次開始,2434,10000
2435,ブルース,2435,10000
2436,どうやった？,2436,10000
2437,聞かせてくれ,2437,10000
2438,立つんだ！,2438,10000
2439,何者なの？,2439,10000
2440,テッサ,2440,10000
2441,私・・・,2441,10000
2442,え！,2442,10000
2443,うわー,2443,10000
2444,また連絡する,2444,10000
2445,どこですか？,2445,10000
2446,それでどうする？,2446,10000
2447,聞いたよ,2447,10000
2448,ヤバい,2448,10000
2449,これはなんだ？,2449,10000
2450,パンナム103便がロッカビーに墜落,2450,10000
2451,いや　そうじゃない,2451,10000
2452,あらあら,2452,10000
2453,お願い　やめて,2453,10000
2454,バカ言うな,2454,10000
2455,ダメだ。,2455,489
2456,マルコム,2456,10000
2457,何やってるんだ？,2457,10000
2458,アディ？,2458,10000
2459,見たんだ,2459,10000
2460,疲れた,2460,726
2461,出来ません,2461,10000
2462,出て行って！,2462,10000
2463,俺は大丈夫だ,2463,10000
2464,やっつけろ！,2464,10000
2465,やったー！,2465,10000
2466,それは残念だ,2466,10000
2467,ここで待ってろ,2467,1120
2468,何を考えてる？,2468,10000
2469,お言葉ですが,2469,10000
2470,バカげてる,2470,10000
2471,何が言いたいんだ？,2471,10000
2472,待つんだ,2472,10000
2473,何が起こっているの？,2473,10000
2474,そうはさせない,2474,10000
2475,いないよ,2475,10000
2476,ゾーイ！,2476,10000
2477,だが　我々は違う,2477,10000
2478,分かるか,2478,10000
2479,オリー！,2479,10000
2480,そうは思えない,2480,10000
2481,心配しなくていい,2481,10000
2482,見てよ,2482,10000
2483,最高だよ,2483,10000
2484,完了,2484,10000
2485,行かないで！,2485,10000
2486,ニック？,2486,10000
2487,ステキ,2487,10000
2488,真実だ,2488,10000
2489,やってみます,2489,10000
2490,チクショー,2490,10000
2491,ウソでしょ？,2491,10000
2492,私たちは,2492,10000
2493,ほんと,2493,10000
2494,後で,2494,10000
2495,分からないけど,2495,10000
2496,なぜ分かる？,2496,10000
2497,あーあ,2497,10000
2498,何と,2498,10000
2499,９,2499,10000
2500,私には,2500,10000
2501,前回までのグリム,2501,10000
2502,返して,2502,190
2503,手を挙げろ,2503,10000
2504,話し合おう,2504,10000
2505,説明してくれ,2505,10000
2506,なるほど。,2506,10000
2507,どうしてなの？,2507,10000
2508,何の為に,2508,10000
2509,僕は・・・,2509,514
2510,いいんです,2510,10000
2511,分かっている,2511,10000
2512,あああ,2512,10000
2513,誰が言った？,2513,10000
2514,今夜は,2514,10000
2515,始めろ,2515,10000
2516,知らないの？,2516,10000
2517,約束よ,2517,10000
2518,悪かったよ,2518,10000
2519,冗談だ,2519,10000
2520,落ち着いて！,2520,10000
2521,アーロン！,2521,10000
2522,ベール,2522,10000
2523,ああ、私の神。,2523,10000
2524,ふざけてるのか？,2524,10000
2525,ここに？,2525,10000
2526,想,2526,68
2527,万歳！,2527,10000
2528,今から？,2528,10000
2529,忘れるな,2529,10000
2530,なぜですか？,2530,1080
2531,オウ！,2531,10000
2532,なんて,2532,10000
2533,永遠,2533,91
2534,オゥ,2534,10000
2535,もう？,2535,10000
2536,神のご加護を,2536,10000
2537,そしたら,2537,10000
2538,了,2538,248
2539,なんだこれは？,2539,10000
2540,ハッ,2540,939
2541,何が起こったんだ？,2541,10000
2542,これだけ？,2542,10000
2543,シャーロック？,2543,10000
2544,フェリシティ,2544,10000
2545,やろうぜ,2545,10000
2546,ジェイコブ！,2546,10000
2547,リック！,2547,10000
2548,問題ないわ,2548,10000
2549,おまえは,2549,10000
2550,軍曹！,2550,10000
2551,用意はいいか？,2551,10000
2552,誰です？,2552,10000
2553,残念ね,2553,10000
2554,何でもないわ,2554,10000
2555,ここで何してるんだ？,2555,10000
2556,刑事さん,2556,10000
2557,そんな事は,2557,10000
2558,パパは？,2558,10000
2559,よく分からない,2559,10000
2560,誰かいますか？,2560,10000
2561,えー？,2561,10000
2562,戦え！,2562,10000
2563,ｋ,2563,10000
2564,死んだよ,2564,10000
2565,どうする気？,2565,10000
2566,まさしく,2566,10000
2567,決まりだ,2567,10000
2568,分かってる！,2568,10000
2569,まいった,2569,10000
2570,行くのよ,2570,10000
2571,気に入ったわ,2571,10000
2572,やめて！,2572,278
2573,ロン！,2573,10000
2574,お待たせしました,2574,10000
2575,実際,2575,10000
2576,良かったわね,2576,10000
2577,おいおい！,2577,10000
2578,テック,2578,10000
2579,どうかしてる,2579,10000
2580,早く行け！,2580,10000
2581,どうかしましたか？,2581,10000
2582,ハレルヤ！,2582,10000
2583,すみません？,2583,10000
2584,カルロス,2584,10000
2585,今よ,2585,10000
2586,良いわよ,2586,10000
2587,できるわ,2587,10000
2588,こいつだ,2588,10000
2589,一体,2589,10000
2590,あれは誰？,2590,10000
2591,それで良い,2591,10000
2592,悪いが,2592,10000
2593,ジョニー！,2593,10000
2594,ドク,2594,10000
2595,リー,2595,10000
2596,マシュー,2596,10000
2597,やっぱりな,2597,10000
2598,わかった　わかった,2598,10000
2599,ルーク！,2599,10000
2600,他には,2600,10000
2601,今すぐだ！,2601,10000
2602,何言ってる？,2602,10000
2603,ボス？,2603,10000
2604,うるせえ！,2604,1088
2605,アーッ,2605,121
2606,賛成だ,2606,10000
2607,彼？,2607,10000
2608,それ！,2608,10000
2609,分からない？,2609,10000
2610,コーヒーは？,2610,10000
2611,ジム？,2611,10000
2612,何だそれ？,2612,10000
2613,分からない,2613,10000
2614,良い。,2614,10000
2615,だよね,2615,10000
2616,一緒に来てくれ,2616,10000
2617,その後,2617,10000
2618,リンダ,2618,10000
2619,そのようだな,2619,10000
2620,これで終わりだ,2620,10000
2621,満足か？,2621,10000
2622,艦長,2622,10000
2623,水,2623,10000
2624,彼,2624,10000
2625,♪一緒に屋上に　登ってくれますか？,2625,10000
2626,司令官,2626,10000
2627,ここで何をしてるの？,2627,10000
2628,撃たないで！,2628,10000
2629,誓うよ,2629,10000
2630,そのままで,2630,10000
2631,友子,2631,76
2632,座りなさい,2632,10000
2633,戻ってこい,2633,10000
2634,でもね,2634,545
2635,ヤバイ！,2635,10000
2636,終わったわ,2636,10000
2637,クリス？,2637,10000
2638,からかってるの？,2638,10000
2639,私がやるわ,2639,10000
2640,何を見た？,2640,10000
2641,素晴らしい。,2641,1019
2642,飛べ！,2642,10000
2643,調べろ,2643,10000
2644,素晴らしいよ,2644,10000
2645,"これまでの ""ホームランド"" では",2645,10000
2646,永遠君,2646,79
2647,ここで待て,2647,10000
2648,何が言いたい,2648,10000
2649,ビリー！,2649,10000
2650,もうちょっと,2650,10000
2651,わぉ,2651,10000
2652,何か見つけた？,2652,10000
2653,怖いわ,2653,10000
2654,失礼？,2654,10000
2655,関係ないでしょ,2655,10000
2656,ここにはいない,2656,10000
2657,ローガン！,2657,78
2658,僕もだよ,2658,10000
2659,かしこまりました。,2659,10000
2660,いただきます,2660,437
2661,ほらな,2661,10000
2662,元気か,2662,10000
2663,楽しみだ,2663,10000
2664,何やってんの？,2664,10000
2665,前進,2665,10000
2666,どうしてですか？,2666,10000
2667,バカ野郎,2667,10000
2668,時間がないんだ,2668,10000
2669,そう願うよ,2669,10000
2670,もう行かなきゃ,2670,959
2671,なんですって,2671,10000
2672,俺も行く,2672,10000
2673,笑って,2673,10000
2674,時間が無い,2674,10000
2675,それよ,2675,10000
2676,お前の名前は？,2676,10000
2677,そうだよな,2677,10000
2678,出てって,2678,10000
2679,言っただろう,2679,10000
2680,レイチェル,2680,10000
2681,あぁ・・・,2681,144
2682,床に伏せろ！,2682,10000
2683,どうなったの？,2683,10000
2684,ここにある,2684,10000
2685,テッド,2685,10000
2686,んー,2686,10000
